
Give some examples greedy algorithms.
What are some examples of divide and conquer algorithms?
What are some examples of divide and conquer algorithms?
What are some examples of dynamic programming algorithms?
What is a linked-list?
What is stack?
Why do we use stacks?
What operations can be performed on stacks?
What is a queue in data-structure?
Why do we use queues?
